x,y,task,episode,index,timestamp,has_sensor
321.482,2.6765506,Green_point,data_collection_20251108_054442,463,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,466,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,470,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,473,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,477,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,480,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,484,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,488,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,491,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,495,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,498,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,502,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,505,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,509,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,513,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,516,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,520,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,523,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,527,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,530,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,534,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,537,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,541,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,545,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,548,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,552,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,555,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,559,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,562,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,566,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,570,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,573,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,577,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,580,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,584,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,587,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,591,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,594,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,598,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,602,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,605,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,609,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,612,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,616,0.0,True
321.482,2.6765506,Green_point,data_collection_20251108_054442,619,0.0,True
171.64403,186.3679,Green_point,data_collection_20251108_054442,623,0.0,True
171.64403,186.3679,Green_point,data_collection_20251108_054442,627,0.0,True
171.64403,186.3679,Green_point,data_collection_20251108_054442,630,0.0,True
171.64403,186.3679,Green_point,data_collection_20251108_054442,634,0.0,True
199.60034,-200.67407,Green_point,data_collection_20251108_054442,637,0.0,True
199.60034,-200.67407,Green_point,data_collection_20251108_054442,641,0.0,True
199.60034,-200.67407,Green_point,data_collection_20251108_054442,644,0.0,True
199.60034,-200.67407,Green_point,data_collection_20251108_054442,648,0.0,True
199.60034,-200.67407,Green_point,data_collection_20251108_054442,651,0.0,True
199.60034,-200.67407,Green_point,data_collection_20251108_054442,655,0.0,True
199.60034,-200.67407,Green_point,data_collection_20251108_054442,659,0.0,True
199.60034,-200.67407,Green_point,data_collection_20251108_054442,662,0.0,True
496.33282,-196.22365,Green_point,data_collection_20251108_054442,666,0.0,True
525.5138,-102.980934,Green_point,data_collection_20251108_054442,669,0.0,True
95.20078,53.440395,Green_point,data_collection_20251108_054442,673,0.0,True
492.716,146.57344,Green_point,data_collection_20251108_054442,676,0.0,True
641.75507,46.282993,Green_point,data_collection_20251108_054442,680,0.0,True
641.75507,46.282993,Green_point,data_collection_20251108_054442,684,0.0,True
641.75507,46.282993,Green_point,data_collection_20251108_054442,687,0.0,True
641.75507,46.282993,Green_point,data_collection_20251108_054442,691,0.0,True
641.75507,46.282993,Green_point,data_collection_20251108_054442,694,0.0,True
641.75507,46.282993,Green_point,data_collection_20251108_054442,698,0.0,True
641.75507,46.282993,Green_point,data_collection_20251108_054442,701,0.0,True
641.75507,46.282993,Green_point,data_collection_20251108_054442,705,0.0,True
641.75507,46.282993,Green_point,data_collection_20251108_054442,709,0.0,True
