x,y,task,episode,index,timestamp,has_sensor
1.7610073,7.881348,Green_point,data_collection_20251108_054442,117,0.0,True
0.7010742,9.162524,Green_point,data_collection_20251108_054442,121,0.0,True
0.2866457,9.206118,Green_point,data_collection_20251108_054442,124,0.0,True
0.5791896,9.323243,Green_point,data_collection_20251108_054442,128,0.0,True
0.4817675,8.983748,Green_point,data_collection_20251108_054442,131,0.0,True
0.40388694,9.466472,Green_point,data_collection_20251108_054442,135,0.0,True
0.5133762,9.704966,Green_point,data_collection_20251108_054442,138,0.0,True
0.61230904,9.653397,Green_point,data_collection_20251108_054442,142,0.0,True
0.47862512,9.666136,Green_point,data_collection_20251108_054442,146,0.0,True
0.22883734,9.346838,Green_point,data_collection_20251108_054442,149,0.0,True
1.0781244,9.232811,Green_point,data_collection_20251108_054442,153,0.0,True
1.4957733,9.510125,Green_point,data_collection_20251108_054442,156,0.0,True
0.66977185,9.63611,Green_point,data_collection_20251108_054442,160,0.0,True
0.95534503,9.550941,Green_point,data_collection_20251108_054442,163,0.0,True
2.159984,8.024082,Green_point,data_collection_20251108_054442,167,0.0,True
2.1227853,8.308099,Green_point,data_collection_20251108_054442,171,0.0,True
1.9949359,8.210444,Green_point,data_collection_20251108_054442,174,0.0,True
2.1400032,9.114987,Green_point,data_collection_20251108_054442,178,0.0,True
1.7490251,9.450857,Green_point,data_collection_20251108_054442,181,0.0,True
1.8038584,9.289889,Green_point,data_collection_20251108_054442,185,0.0,True
1.9789414,8.497431,Green_point,data_collection_20251108_054442,188,0.0,True
2.01911,9.248991,Green_point,data_collection_20251108_054442,192,0.0,True
2.1281986,8.208133,Green_point,data_collection_20251108_054442,195,0.0,True
2.3023646,8.076316,Green_point,data_collection_20251108_054442,199,0.0,True
1.8706062,8.924239,Green_point,data_collection_20251108_054442,203,0.0,True
2.0379581,9.36332,Green_point,data_collection_20251108_054442,206,0.0,True
1.9131049,9.530732,Green_point,data_collection_20251108_054442,210,0.0,True
2.2496924,9.345911,Green_point,data_collection_20251108_054442,213,0.0,True
2.3962998,8.9675045,Green_point,data_collection_20251108_054442,217,0.0,True
2.2743716,7.4730425,Green_point,data_collection_20251108_054442,220,0.0,True
2.1065466,7.6215105,Green_point,data_collection_20251108_054442,224,0.0,True
2.3670626,8.03421,Green_point,data_collection_20251108_054442,228,0.0,True
2.391487,8.441147,Green_point,data_collection_20251108_054442,231,0.0,True
